[2019-07-15 16:37:55] [Info] Disconnect encrypted-tbn3.gstatic.com:443
[2019-07-15 16:37:55] [Info] Disconnect verdict.valkyrie.comodo.com:443
[2019-07-15 16:37:55] [Info] Disconnect lh4.googleusercontent.com:443
[2019-07-15 16:37:55] [Info] Disconnect apis.google.com:443
[2019-07-15 16:37:55] [Info] Disconnect encrypted-tbn2.gstatic.com:443
[2019-07-15 16:37:55] [Info] Connect verdict.valkyrie.comodo.com:443
[2019-07-15 16:37:55] [Info] Connect verdict.valkyrie.comodo.com:443
[2019-07-15 16:37:56] [Info] Connect verdict.valkyrie.comodo.com:443
[2019-07-15 16:37:56] [Info] Disconnect verdict.valkyrie.comodo.com:443
[2019-07-15 16:37:56] [Info] Connect www.google.com:443
[2019-07-15 16:37:56] [Info] Connect www.google.com:443
[2019-07-15 16:37:56] [Info] Connect www.google.com:443
[2019-07-15 16:37:56] [Info] Disconnect www.google.com:443
[2019-07-15 16:38:00] [Info] Connect mail.google.com:443
[2019-07-15 16:38:01] [Info] Connect mail.google.com:443
[2019-07-15 16:38:01] [Info] Connect mail.google.com:443
[2019-07-15 16:38:01] [Info] Disconnect mail.google.com:443
[2019-07-21 13:04:37] ShadowsocksR started on port 1080
[2019-07-21 13:04:46] [Info] Connect activity.windows.com:443
[2019-07-21 13:04:47] [Info] Connect raw.githubusercontent.com:443
[2019-07-21 13:04:47] [Info] Connect activity.windows.com:443
[2019-07-21 13:04:47] [Info] Connect raw.githubusercontent.com:443
[2019-07-21 13:04:47] [Info] Connect activity.windows.com:443
[2019-07-21 13:04:47] [Info] Connect raw.githubusercontent.com:443
[2019-07-21 13:04:47] [Info] Disconnect activity.windows.com:443
[2019-07-21 13:04:47] [Info] Disconnect raw.githubusercontent.com:443
[2019-07-21 13:04:47] [Info] Connect raw.githubusercontent.com:443
[2019-07-21 13:04:48] [Info] Connect raw.githubusercontent.com:443
[2019-07-21 13:04:48] [Info] Connect raw.githubusercontent.com:443
[2019-07-21 13:04:48] [Info] Disconnect raw.githubusercontent.com:443
[2019-07-21 13:04:48] [Info] Connect raw.githubusercontent.com:443
[2019-07-21 13:04:48] [Info] Connect raw.githubusercontent.com:443
[2019-07-21 13:04:48] [Info] Connect raw.githubusercontent.com:443
[2019-07-21 13:04:49] [Info] Disconnect raw.githubusercontent.com:443
[2019-07-21 13:04:49] [Info] Connect raw.githubusercontent.com:443
[2019-07-21 13:04:49] [Info] Connect raw.githubusercontent.com:443
[2019-07-21 13:04:49] [Info] Connect raw.githubusercontent.com:443
[2019-07-21 13:04:49] [Info] Disconnect raw.githubusercontent.com:443
[2019-07-21 13:04:49] [Error] connect to update server error
[2019-07-21 13:05:00] [Info] Connect clients4.google.com:443
[2019-07-21 13:05:00] [Info] Connect clients4.google.com:443
[2019-07-21 13:05:01] [Info] Connect clients4.google.com:443
[2019-07-21 13:05:01] [Info] Disconnect clients4.google.com:443
[2019-07-21 13:05:01] [Info] Direct connect suggestion.baidu.com:80
[2019-07-21 13:05:02] [Info] Direct connect ssl.gstatic.com:443
[2019-07-21 13:05:02] [Info] Direct connect ssl.gstatic.com:443
[2019-07-21 13:05:15] [Info] Direct connect suggestion.baidu.com:80
[2019-07-21 13:05:18] [Info] Direct connect www.google-analytics.com:443
[2019-07-21 13:05:19] [Info] Connect verdict.valkyrie.comodo.com:443
[2019-07-21 13:05:19] [Info] Connect www.google.com:443
[2019-07-21 13:05:19] [Info] Connect verdict.valkyrie.comodo.com:443
[2019-07-21 13:05:19] [Info] Connect www.google.com:443
[2019-07-21 13:05:19] [Info] Connect verdict.valkyrie.comodo.com:443
[2019-07-21 13:05:19] [Info] Connect www.google.com:443
[2019-07-21 13:05:19] [Info] Disconnect verdict.valkyrie.comodo.com:443
[2019-07-21 13:05:19] [Info] Disconnect www.google.com:443
[2019-07-21 13:05:19] [Info] Connect verdict.valkyrie.comodo.com:443
[2019-07-21 13:05:19] [Info] Connect verdict.valkyrie.comodo.com:443
[2019-07-21 13:05:20] [Info] Connect verdict.valkyrie.comodo.com:443
[2019-07-21 13:05:20] [Info] Disconnect verdict.valkyrie.comodo.com:443
